name	birthday
Ellie	03-28
Jamima	01-02
William	01-17
Jaxson	12-16
Azalea	05-03
Thiago	05-15
Garrett	03-28
Josiah	12-16
Colson	01-19
Xavier	01-08
Ariana	03-17
Leonidas	10-12
Finnegan	05-12
Helen	03-23
Edward	11-09
Mario	01-21
Caroline	11-01
Claude	09-06
Maximilian	03-04
Kash	07-01
Jameson	11-12
Zoey	03-05
Eleanor	11-19
Kamari	11-16
Kaitlyn	04-17
Francis	10-02
Alina	08-12
Benedict	07-10
Jorge	07-12
Blair	03-10
Penelope	04-15
Zara	12-14
Archer	07-16
June	06-02
Hector	04-22
Ryker	05-20
Keira	07-13
Lyric	01-04
Evie	04-02
Blake	10-08
Frank	04-01
Marshall	05-12
Valeria	11-03
Aiden	05-05
Gabriella	12-21
Zayn	09-09
Sawyer	04-04
Gideon	07-20
Kinley	11-08
Ian	10-09
Lennon	09-20
Rowan	09-20
Cash	06-17
Alaya	12-12
Ruby	07-12
Piper	04-11
Brady	12-26
Colton	09-07
Arianna	12-01
Reign	11-10
Leia	10-12
Charli	09-24
Lilah	08-12
Lexi	01-29
Haisley	02-06
Eva	10-12
Harlow	12-07
Killian	06-04
Madeleine	04-02
Arthur	01-19
Wilder	07-04
Aylin	08-28
Aziel	06-10
Alexa	12-06
Milo	05-18
Ashton	02-11
Christian	07-10
Tucker	12-09
Fiona	04-15
Archie	02-25
Malakai	10-10
Jamison	02-21
Maci	03-07
Elian	02-22
Elena	11-24
Rylan	10-07
Georgia	03-04
Memphis	10-05
Raiden	05-18
Jaxon	01-14
Layla	04-08
Ayden	01-30
Kamden	03-01
Gregory	07-20
Bella	05-30
Steven	11-23
Antonio	05-21
Amora	11-12
Rosie	03-22
Johnathan	03-11
Ronin	12-28
Aubree	07-22
Bruce	09-15
Jessica	11-24
Rebecca	10-18
Danielle	05-24
Isaiah	12-18
Desmond	05-01
Samantha	11-16
Nasir	07-10
Jace	07-15
Lindsey	07-14
Mariah	07-06
Valentino	03-21
Hattie	02-15
Rhys	02-12
Eden	01-09
Luciano	03-24
Baylor	07-17
Lyla	03-01
Maximiliano	06-26
Selah	03-11
Kade	09-07
Scarlett	06-28
Zion	10-02
Millie	05-21
Addison	09-12
Briella	07-19
John	06-14
Paige	03-23
Lewis	09-28
Gabriel	10-30
Frances	08-07
Elizabeth	02-22
Naomi	01-04
Brianna	09-09
Preston	10-08
Ford	10-21
Jeffrey	11-30
Veronica	08-15
Conor	10-27
Leonel	05-22
David	03-11
Gunner	12-25
Emanuel	02-25
Barrett	11-06
Abigail	05-12
Amos	03-07
Maxwell	07-29
Kyrie	07-18
Titus	12-03
Ronan	02-04
Josephine	06-14
Jacob	01-31
Bianca	02-15
Luca	04-05
Heaven	11-30
Victor	12-30
Summer	07-29
Dominick	09-25
Elise	06-21
Zayne	08-12
